question_text,option_a,option_b,option_c,correct_answer,difficulty
"In football, which african country does andre onana represent?","Cameroon","Nigeria","Egypt","A","medium"
"In football, which country does kylian mbappe represent?","France","Argentina","Brazil","A","easy"
"Can you tell: What is the home stadium of Tottenham?","Tottenham Hotspur Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: Which country does Son Heung-min represent?","South Korea","Argentina","Brazil","A","easy"
"Can you tell: Which club sold Declan Rice to Arsenal?","Chelsea","West Ham","Manchester City","B","hard"
"Can you tell: Which country does Bukayo Saka represent?","England","Argentina","Brazil","A","easy"
"In football, who won the 1982 fifa world cup?","Italy","Brazil","Germany","A","medium"
"In football, in which city is atalanta based?","Bergamo","Milan","Rome","A","medium"
"Football trivia: Who won the 2010 FIFA World Cup?","Spain","Brazil","Germany","A","medium"
"Can you tell: Which country does Erling Haaland represent?","Norway","Argentina","Brazil","A","easy"
"Can you tell: What is the home stadium of Liverpool?","Anfield","Emirates Stadium","Stamford Bridge","A","medium"
"In football, what is the home stadium of real sociedad?","Anoeta","Santiago Bernabeu","Camp Nou","A","medium"
"Football trivia: Who won the 2016 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Can you tell: Which African country does Nicolas Pepe represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"Football trivia: Which country does Mohamed Salah represent?","Egypt","Argentina","Brazil","A","easy"
"In football, how long is half-time in professional football?","10 minutes","15 minutes","20 minutes","B","easy"
"Can you tell: What number did Andrea Pirlo wear at Juventus?","10","21","6","B","easy"
"Football trivia: What position does Sadio Mane play?","Forward","Midfielder","Defender","A","easy"
"How many rounds are in a professional boxing match?","10","12","15","B","medium"
"In football, what nationality is manager diego simeone?","Argentina","Spain","Germany","A","medium"
"In football, what is the traditional number worn by a center-forward?","7","9","10","B","easy"
"Can you tell: Which country does Lionel Messi represent?","Argentina","Brazil","France","A","easy"
"Football trivia: Who won the 1938 FIFA World Cup?","Italy","Brazil","Germany","A","hard"
"Football trivia: Which player holds the record for most goals in a single Premier League season?","Erling Haaland","Mohamed Salah","Alan Shearer","A","easy"
"Football trivia: In which city is AC Milan based?","Milan","Turin","Rome","A","medium"
"Football trivia: Which Nigerian won the African Footballer of the Year in 1996?","Jay-Jay Okocha","Nwankwo Kanu","Daniel Amokachi","B","medium"
"Can you tell: Which country does Virgil van Dijk represent?","Netherlands","Argentina","Brazil","A","easy"
"Football trivia: In which German city is Borussia Monchengladbach based?","Monchengladbach","Munich","Dortmund","A","medium"
"Football trivia: Who won the 2023 UEFA Champions League?","Manchester City","Real Madrid","Barcelona","A","medium"
"Can you tell: Who won the 2023 Ballon d'Or?","Kylian Mbappe","Erling Haaland","Lionel Messi","C","easy"
"Can you tell: Who won the 2018 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"In football, who won the 2018 fifa world cup?","France","Brazil","Germany","A","medium"
"Can you tell: What nationality is manager Carlo Ancelotti?","Italy","Spain","Germany","A","medium"
"Can you tell: What position does Kevin De Bruyne play?","Midfielder","Forward","Defender","A","easy"
"Football trivia: How many Premier League titles has Manchester City won under Pep Guardiola?","4","5","6","C","easy"
"In football, which city hosts the nigeria professional football league headquarters?","Lagos","Abuja","Ibadan","B","medium"
"Football trivia: What is the home stadium of Athletic Bilbao?","San Mames","Santiago Bernabeu","Camp Nou","A","medium"
"Can you tell: What is the home stadium of Crystal Palace?","Selhurst Park","Emirates Stadium","Stamford Bridge","A","medium"
"Can you tell: What position does Karim Benzema play?","Striker","Forward","Midfielder","A","easy"
"Can you tell: What was the transfer fee for Neymar from Barcelona to PSG?","180 million euros","222 million euros","200 million euros","B","hard"
"Football trivia: Which club sold Declan Rice to Arsenal?","Chelsea","West Ham","Manchester City","B","hard"
"Football trivia: Who is the all-time top scorer in World Cup history?","Ronaldo","Miroslav Klose","Gerd Muller","B","hard"
"Football trivia: Who won the Golden Ball at the 2022 World Cup?","Kylian Mbappe","Lionel Messi","Luka Modric","B","hard"
"Football trivia: What is Chelsea's nickname?","The Blues","The Gunners","The Reds","A","medium"
"In football, which african country does wilfried zaha represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"In football, how long is a football match including normal time?","80 minutes","90 minutes","100 minutes","B","easy"
"Can you tell: What number does Lionel Messi typically wear?","7","10","9","B","easy"
"Football trivia: What number did Andrea Pirlo wear at Juventus?","10","21","6","B","easy"
"Can you tell: Who won the 2023 UEFA Champions League?","Manchester City","Real Madrid","Barcelona","A","medium"
"In football, who won the 2021 uefa champions league?","Chelsea","Real Madrid","Barcelona","A","medium"
"Football trivia: Which African country does Hakim Ziyech represent?","Morocco","Nigeria","Egypt","A","medium"
"Football trivia: Which country does Kylian Mbappe represent?","France","Argentina","Brazil","A","easy"
"In football, what color is shown for a direct red card?","Yellow","Red","Orange","B","easy"
"Can you tell: What number did Zinedine Zidane wear at Real Madrid?","5","10","7","A","easy"
"Can you tell: What is the home stadium of West Ham?","London Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"In football, which african country does naby keita represent?","Guinea","Nigeria","Egypt","A","medium"
"Football trivia: Which African country does Victor Osimhen represent?","Nigeria","Egypt","Senegal","A","medium"
"In football, how many goals did miroslav klose score in world cup history?","14","16","18","B","hard"
"In football, what position does kylian mbappe play?","Forward","Midfielder","Defender","A","easy"
"In football, what position does karim benzema play?","Striker","Forward","Midfielder","A","easy"
"Can you tell: What is the distance from the penalty spot to the goal line?","10 meters","11 meters","12 meters","C","easy"
"In football, who won the 2006 fifa world cup?","Italy","Brazil","Germany","A","medium"
"In football, who won the 1950 fifa world cup?","Uruguay","Brazil","Germany","A","hard"
"Football trivia: What is the traditional number worn by a center-forward?","7","9","10","B","easy"
"In football, what number did andrea pirlo wear at juventus?","10","21","6","B","easy"
"In football, what position does cristiano ronaldo play?","Forward","Midfielder","Defender","A","easy"
"Can you tell: In which city is Napoli based?","Naples","Milan","Rome","A","medium"
"Can you tell: What is the maximum number of substitutions allowed in a Premier League match?","3","5","4","B","easy"
"Football trivia: Who won the 2021 UEFA Champions League?","Chelsea","Real Madrid","Barcelona","A","medium"
"Football trivia: Who is the Premier League's all-time top scorer?","Wayne Rooney","Alan Shearer","Harry Kane","B","easy"
"Can you tell: How many goals did Just Fontaine score in the 1958 World Cup?","11","13","15","B","hard"
"In football, which country does sadio mane represent?","Senegal","Argentina","Brazil","A","easy"
"Football trivia: What is the home stadium of Crystal Palace?","Selhurst Park","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: What is the home stadium of Liverpool?","Anfield","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: Who won the 2002 FIFA World Cup?","Brazil","Germany","Italy","A","medium"
"In football, which african country does mohamed salah represent?","Egypt","Nigeria","Senegal","A","medium"
"In football, what is the capacity of the mko abiola national stadium?","40,000","60,000","80,000","B","medium"
"Football trivia: Who won the 1982 FIFA World Cup?","Italy","Brazil","Germany","A","medium"
"Can you tell: What is Liverpool's nickname?","The Reds","The Gunners","The Blues","A","medium"
"In football, what is tottenham's nickname?","Spurs","The Gunners","The Blues","A","medium"
"Football trivia: What color is shown for a direct red card?","Yellow","Red","Orange","B","easy"
"Can you tell: What is Manchester United's nickname?","The Red Devils","The Gunners","The Blues","A","medium"
"In football, which country does cristiano ronaldo represent?","Portugal","Argentina","Brazil","A","easy"
"In football, what nationality is manager luis enrique?","Spain","Germany","Italy","A","medium"
"Football trivia: Which African country does Riyad Mahrez represent?","Algeria","Nigeria","Egypt","A","medium"
"In football, what is aston villa's nickname?","The Villans","The Gunners","The Blues","A","medium"
"Football trivia: Which goalkeeper has the most clean sheets in Premier League history?","David Seaman","Petr Cech","Peter Schmeichel","B","easy"
"Football trivia: How long is a football match including normal time?","80 minutes","90 minutes","100 minutes","B","easy"
"Football trivia: Which Nigerian club plays at the Teslim Balogun Stadium?","Shooting Stars","First Bank FC","Stationary Stores","A","medium"
"Can you tell: Which African country does Kalidou Koulibaly represent?","Senegal","Nigeria","Egypt","A","medium"
"Can you tell: In which city is AC Milan based?","Milan","Turin","Rome","A","medium"
"Can you tell: Which African country does Achraf Hakimi represent?","Morocco","Nigeria","Egypt","A","medium"
"In football, what number did zinedine zidane wear at real madrid?","5","10","7","A","easy"
"In football, who won the 1934 fifa world cup?","Italy","Brazil","Germany","A","hard"
"Can you tell: Who won the 2017 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"In football, who won the 2017 africa cup of nations?","Cameroon","Nigeria","Egypt","A","medium"
"Can you tell: What shirt number did Thierry Henry wear at Arsenal?","9","12","14","C","easy"
"Football trivia: Which African country does Pierre-Emerick Aubameyang represent?","Gabon","Nigeria","Egypt","A","medium"
"Football trivia: What nationality is manager Mikel Arteta?","Spain","Germany","Italy","A","medium"
"Football trivia: Which country does Alisson represent?","Brazil","Argentina","France","A","easy"
"Can you tell: What is the capacity of the MKO Abiola National Stadium?","40,000","60,000","80,000","B","medium"
"Football trivia: Who won the 2006 Africa Cup of Nations?","Egypt","Nigeria","Senegal","A","medium"
"Can you tell: Who won the 2010 UEFA Champions League?","Inter Milan","Real Madrid","Barcelona","A","medium"
"Can you tell: In which German city is RB Leipzig based?","Leipzig","Munich","Dortmund","A","medium"
"In football, what number does kylian mbappe wear?","7","10","9","A","easy"
"In football, which country has appeared in the most world cup finals?","Brazil","Germany","Italy","B","hard"
"In football, in which city is lazio based?","Rome","Milan","Naples","A","medium"
"Can you tell: What nationality is manager Xavi?","Spain","Germany","Italy","A","medium"
"Can you tell: Who won the 2012 UEFA Champions League?","Chelsea","Real Madrid","Barcelona","A","medium"
"Football trivia: Who won the 1994 FIFA World Cup?","Brazil","Germany","Italy","A","medium"
"In football, what is the traditional goalkeeper jersey number?","1","12","25","A","easy"
"Can you tell: What is the home stadium of Wolves?","Molineux","Emirates Stadium","Stamford Bridge","A","medium"
"Football trivia: What position does Robert Lewandowski play?","Striker","Forward","Midfielder","A","easy"
"Football trivia: Who won the 2012 Africa Cup of Nations?","Zambia","Nigeria","Egypt","A","medium"
"Can you tell: Which country does Karim Benzema represent?","France","Argentina","Brazil","A","easy"
"Football trivia: How many goals did Erling Haaland score in his debut Premier League season?","36","32","28","A","easy"
"Football trivia: Who won the 2011 UEFA Champions League?","Barcelona","Real Madrid","Bayern Munich","A","medium"
"Can you tell: In which city is Lazio based?","Rome","Milan","Naples","A","medium"
"Football trivia: In which year did Nigeria win their first Olympic gold medal in football?","1992","1996","2000","B","medium"
"Football trivia: What position does Son Heung-min play?","Forward","Midfielder","Defender","A","easy"
"Can you tell: What position does Luka Modric play?","Midfielder","Forward","Defender","A","easy"
"Football trivia: What position does Kevin De Bruyne play?","Midfielder","Forward","Defender","A","easy"
"In football, how wide is a standard football goal?","7.32 meters","8 meters","9 meters","A","easy"
"Football trivia: What is the home stadium of Real Betis?","Benito Villamarin","Santiago Bernabeu","Camp Nou","A","medium"
